   Player_Details,Weight,Age,Salary
Al Jefferson Charlotte Hornets  C,289,31,13500000
Frank Kaminsky III Charlotte Hornets Wisconsin C,240,23,2612520
Michael Kidd-Gilchrist Charlotte Hornets Kentucky SF,232,22,6331404
Jeremy Lamb Charlotte Hornets Connecticut SG,185,24,3034356
Courtney Lee Charlotte Hornets Western Kentucky SG,200,30,5675000
Jeremy Lin Charlotte Hornets Harvard PG,200,27,2139000
Kemba Walker Charlotte Hornets Connecticut PG,184,26,12000000
Marvin Williams Charlotte Hornets North Carolina PF,237,29,7000000
Cody Zeller Charlotte Hornets Indiana C,240,23,4204200
Chris Bosh Miami Heat Georgia Tech PF,235,32,22192730
Luol Deng Miami Heat Duke SF,220,31,10151612
Goran Dragic Miami Heat  PG,190,30,14783000
Gerald Green Miami Heat  SF,205,30,947276
Udonis Haslem Miami Heat Florida PF,235,36,2854940
Joe Johnson Miami Heat Arkansas SF,240,34,261894
Tyler Johnson Miami Heat Fresno State SG,186,24,845059
Josh McRoberts Miami Heat Duke PF,240,29,5543725
Josh Richardson Miami Heat Tennessee SG,200,22,525093
Amar'e Stoudemire Miami Heat  PF,245,33,947276
Dwyane Wade Miami Heat Marquette SG,220,34,20000000
Briante Weber Miami Heat Virginia Commonwealth PG,165,23,
Hassan Whiteside Miami Heat Marshall C,265,26,981348
Justise Winslow Miami Heat Duke SF,225,20,2481720
Dorell Wright Miami Heat  SF,205,30,
Dewayne Dedmon Orlando Magic USC C,245,26,947276
Evan Fournier Orlando Magic  SG,205,23,2288205
Aaron Gordon Orlando Magic Arizona PF,220,20,4171680
Mario Hezonja Orlando Magic  SG,218,21,3741480
Ersan Ilyasova Orlando Magic  PF,235,29,7900000
Brandon Jennings Orlando Magic  PG,169,26,8344497
Devyn Marble Orlando Magic Iowa SF,200,23,845059
Shabazz Napier Orlando Magic Connecticut PG,175,24,1294440
Andrew Nicholson Orlando Magic St. Bonaventure PF,250,26,2380593
Victor Oladipo Orlando Magic Indiana SG,210,24,5192520
Elfrid Payton Orlando Magic Louisiana-Lafayette PG,185,22,2505720
Jason Smith Orlando Magic Colorado State PF,240,30,4300000
Nikola Vucevic Orlando Magic USC C,260,25,11250000
C.J. Watson Orlando Magic Tennessee PG,175,32,5000000
Alan Anderson Washington Wizards Michigan State SG,220,33,4000000
Bradley Beal Washington Wizards Florida SG,207,22,5694674
Jared Dudley Washington Wizards Boston College SF,225,30,4375000
Jarell Eddie Washington Wizards Virginia Tech SG,218,24,561716
Drew Gooden Washington Wizards Kansas PF,250,34,3300000
Marcin Gortat Washington Wizards  C,240,32,11217391
JJ Hickson Washington Wizards North Carolina State C,242,27,273038
Nene Hilario Washington Wizards  C,250,33,13000000
Markieff Morris Washington Wizards Kansas PF,245,26,8000000
Kelly Oubre Jr. Washington Wizards Kansas SF,205,20,1920240
Otto Porter Jr. Washington Wizards Georgetown SF,198,23,4662960
Ramon Sessions Washington Wizards Nevada PG,190,30,2170465
Garrett Temple Washington Wizards LSU SG,195,30,1100602
Marcus Thornton Washington Wizards LSU SF,205,29,200600
John Wall Washington Wizards Kentucky PG,195,25,15851950
Darrell Arthur Denver Nuggets Kansas PF,235,28,2814000
D.J. Augustin Denver Nuggets Texas PG,183,28,3000000
Will Barton Denver Nuggets Memphis SF,175,25,3533333
Wilson Chandler Denver Nuggets DePaul SF,225,29,10449438
Kenneth Faried Denver Nuggets Morehead State PF,228,26,11235955
Danilo Gallinari Denver Nuggets  SF,225,27,14000000
Gary Harris Denver Nuggets Michigan State SG,210,21,1584480
Nikola Jokic Denver Nuggets  C,250,21,1300000
Joffrey Lauvergne Denver Nuggets  C,220,24,1709719
Mike Miller Denver Nuggets Florida SG,218,36,947276
Emmanuel Mudiay Denver Nuggets  PG,200,20,3102240
Jameer Nelson Denver Nuggets Saint Joseph's PG,190,34,4345000
Jusuf Nurkic Denver Nuggets  C,280,21,1842000
JaKarr Sampson Denver Nuggets St. John's SG,214,23,258489
Axel Toupane Denver Nuggets  SG,210,23,
Nemanja Bjelica Minnesota Timberwolves  PF,240,28,3950001
Gorgui Dieng Minnesota Timberwolves Louisville C,241,26,1474440
